Label,Text,length,#digit/(#ascii+#digit+#punctuation),%kwName,%kwAddress,%kwPhone,first_character_type,"#""space"""
0,"hoang ngoc khanh
",17,0.0,0,0.0,0.0,1,2
0,"doan khanh an
",14,0.0,0,0.0,0.0,1,2
0,"le quang tung
",14,0.0,0,0.024691358024691357,0.0,1,2
0,"khanh c vu
",11,0.0,0,0.0,0.0,1,2
0,"pham van cau
",13,0.0,0,0.0,0.0,1,2
0,"nguyen phuong
",14,0.0,0,0.0,0.0,1,1
0,"nguyen ngoc anh
",16,0.0,0,0.0,0.0,1,2
0,"le khanh trang
",15,0.0,0,0.0,0.0,1,2
0,"nguyen thu lan
",15,0.0,0,0.0,0.0,1,2
0,"xuan pham
",10,0.0,0,0.0,0.0,1,1
0,"nguyen ngoc dang
",17,0.0,0,0.0,0.0,1,2
0,"ngo duc minh
",13,0.0,0,0.0,0.0,1,2
0,"nguyen van khuong
",18,0.0,0,0.012345679012345678,0.0,1,2
0,"nguyen hoang viet
",18,0.0,0,0.0,0.0,1,2
0,"nguyen thanh xuan
",18,0.0,0,0.0,0.0,1,2
0,"quynh vu
",9,0.0,0,0.012345679012345678,0.0,1,1
0,"nguyen kim son
",15,0.0,0,0.012345679012345678,0.0,1,2
0,"duong van tu
",13,0.0,0,0.012345679012345678,0.0,1,2
0,"luu thu thuy
",13,0.0,0,0.0,0.0,1,2
0,"nguyen duy vinh
",16,0.0,0,0.0,0.0,1,2
0,"nguyen ngoc vinh
",17,0.0,0,0.0,0.0,1,2
0,"truong xuan truong
",19,0.0,0,0.0,0.0,1,2
0,"tran tu hoc
",12,0.0,0,0.0,0.0,1,2
0,"mark vu
",8,0.0,0,0.0,0.0,1,1
0,"nguyen loc la
",14,0.0,0,0.012345679012345678,0.0,1,2
0,"nguyen lan anh
",15,0.0,0,0.0,0.0,1,2
0,"vu ngoc tru
",12,0.0,0,0.0,0.0,1,2
0,"huyen dang
",11,0.0,0,0.012345679012345678,0.0,1,1
0,"man van thang
",14,0.0,0,0.0,0.0,1,2
0,"ho van quan
",12,0.0,0,0.024691358024691357,0.0,1,2
0,"khoa tran minh
",15,0.0,0,0.0,0.0,1,2
0,"paul v vu
",10,0.0,0,0.0,0.0,1,2
0,"lan tran
",9,0.0,0,0.0,0.0,1,1
0,"phan ky phung
",14,0.0,0,0.0,0.0,1,2
0,"tran quoc loc
",14,0.0,0,0.024691358024691357,0.0,1,2
0,"nguyen quang hoang
",19,0.0,0,0.024691358024691357,0.0,1,2
0,"nguyen van cao
",15,0.0,0,0.0,0.0,1,2
0,"doanh thi doan trang
",21,0.0,0,0.0,0.0,1,3
0,"pham huy hoang
",15,0.0,0,0.0,0.0,1,2
0,"pham nhan long
",15,0.0,0,0.012345679012345678,0.0,1,2
0,"dieu t. nguyen
",15,0.0,0,0.0,0.0,1,2
