Label,Text,#digit/(#ascii+#digit+#punctuation),%kwName,%kwAddress,%kwPhone,#max_digit_skip_0_2_0,#max_digit_skip_0_2_1,#max_digit_skip_0_2_2,first_character_type_0,first_character_type_1,first_character_type_2,first_character_type_3,"#""space"""
2,"08 3848 9771
",1.0,0,0.0,0.0,0,0,1,0,0,1,0,2
2,"043566 7999 (4 lines)
",0.6111111111111112,0,0.0,0.25,0,0,1,0,0,1,0,3
2,"(84-4) 3868 8895
",0.7857142857142857,0,0.0,0.0,0,0,1,0,0,0,1,2
2,"04.6.281.4083
",0.7692307692307693,0,0.0,0.0,0,0,1,0,0,1,0,0
2,"04.7305 lo88
",0.7272727272727273,0,0.012345679012345678,0.0,0,1,0,0,0,1,0,1
2,"0312.88.33.86
",0.7692307692307693,0,0.0,0.0,0,0,1,0,0,1,0,0
2,"(04) 37414112
",0.8333333333333334,0,0.0,0.0,0,0,1,0,0,0,1,1
2,"(04) 6652 2080
",0.8333333333333334,0,0.0,0.0,0,0,1,0,0,0,1,2
2,"(84-4) 66865678
",0.7857142857142857,0,0.0,0.0,0,0,1,0,0,0,1,1
2,"0938210401
",1.0,0,0.0,0.0,0,0,1,0,0,1,0,0
2,"0466 5257 52
",1.0,0,0.0,0.0,0,0,1,0,0,1,0,2
2,"04.38294693
",0.9090909090909091,0,0.0,0.0,0,0,1,0,0,1,0,0
2,"04.3833.3158
",0.8333333333333334,0,0.0,0.0,0,0,1,0,0,1,0,0
2,"(84-4)36876301
",0.7857142857142857,0,0.0,0.0,0,0,1,0,0,0,1,0
2,"0916 133488
",1.0,0,0.0,0.0,0,0,1,0,0,1,0,1
2,"043628 5428
",1.0,0,0.0,0.0,0,0,1,0,0,1,0,1
2,"04.3356 0482
",0.9090909090909091,0,0.0,0.0,0,0,1,0,0,1,0,1
2,"0938 749 378
",1.0,0,0.0,0.0,0,0,1,0,0,1,0,2
2,"(+844)3854 4673
",0.7857142857142857,0,0.0,0.0,0,0,1,0,0,0,1,1
2,"(+84 4) 38s4 0212
",0.7142857142857143,0,0.0,0.0,0,1,0,0,0,0,1,3
2,"(04) 371g0 788
",0.75,0,0.0,0.0,0,1,0,0,0,0,1,2
2,"04.6287.1653
",0.8333333333333334,0,0.0,0.0,0,0,1,0,0,1,0,0
2,"(+84-4) 6682 2681
",0.7333333333333333,0,0.0,0.0,0,0,1,0,0,0,1,2
2,"(+84) 907 91 7279
",0.7857142857142857,0,0.0,0.0,0,0,1,0,0,0,1,3
2,"84-66-2681
",0.8,0,0.0,0.0,0,1,0,0,0,1,0,0
2,"4) 30330450 _
",0.8181818181818182,0,0.0,0.0,0,0,1,0,0,1,0,2
2,"(+844)39289999
",0.7857142857142857,0,0.0,0.0,0,0,1,0,0,0,1,0
2,"0904.04.04.86
",0.7692307692307693,0,0.0,0.0,0,0,1,0,0,1,0,0
2,"04.6260.2180
",0.8333333333333334,0,0.0,0.0,0,0,1,0,0,1,0,0
2,"0313.610.379
",0.8333333333333334,0,0.0,0.0,0,0,1,0,0,1,0,0
2,"04. 246 29 26
",0.9,0,0.0,0.0,0,0,1,0,0,1,0,3
2,"04. 533 79 06
",0.9,0,0.0,0.0,0,0,1,0,0,1,0,3
2,"04, 766 9785
",0.9,0,0.0,0.0,0,0,1,0,0,1,0,2
2,"84.4.62811282
",0.8461538461538461,0,0.0,0.0,0,0,1,0,0,1,0,0
2,"(84-4) 37877137
",0.7857142857142857,0,0.0,0.0,0,0,1,0,0,0,1,1
2,"04.3564,2639
",0.8333333333333334,0,0.0,0.0,0,1,0,0,0,1,0,0
2,"04.3564.2638
",0.8333333333333334,0,0.0,0.0,0,0,1,0,0,1,0,0
2,"0916.232.592
",0.8333333333333334,0,0.0,0.0,0,0,1,0,0,1,0,0
2,"+84. 8.628.08070
",0.7333333333333333,0,0.0,0.0,0,0,1,0,0,0,1,1
2,"62807283
",1.0,0,0.0,0.0,0,0,1,0,0,1,0,0
2,"+84. 4.3773 3703
",0.7857142857142857,0,0.0,0.0,0,0,1,0,0,0,1,2
2,"3773 3704
",1.0,0,0.0,0.0,0,0,1,0,0,1,0,1
2,"04. 3641 7159
",0.9090909090909091,0,0.0,0.0,0,0,1,0,0,1,0,2
